2019-04-24 15:17:22,328 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:22,453 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.03, 127.0.0.1:64407]
2019-04-24 15:17:22,522 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.01, 127.0.0.1:64407]
2019-04-24 15:17:22,738 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:22,793 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:23,120 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:23,160 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:23,539 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:23,582 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:17:23,849 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /object/ 200 [0.02, 127.0.0.1:64407]
2019-04-24 15:17:23,884 [Dummy-1:9016] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64407]
2019-04-24 15:20:05,458 [Thread-2:7488] [django.request:228] [log:log_response] [WARNING]- Not Found: /object/
2019-04-24 15:20:05,460 [Dummy-1:7608] [django.channels.server:149] [runserver:log_action] [WARNING]- HTTP GET /object/ 404 [0.03, 127.0.0.1:64441]
2019-04-24 15:20:06,273 [Thread-2:7488] [django.request:228] [log:log_response] [WARNING]- Not Found: /object/
2019-04-24 15:20:06,274 [Dummy-1:7608] [django.channels.server:149] [runserver:log_action] [WARNING]- HTTP GET /object/ 404 [0.01, 127.0.0.1:64441]
2019-04-24 15:20:06,816 [Thread-3:6884] [django.request:228] [log:log_response] [WARNING]- Not Found: /object/
2019-04-24 15:20:06,818 [Dummy-1:7608] [django.channels.server:149] [runserver:log_action] [WARNING]- HTTP GET /object/ 404 [0.01, 127.0.0.1:64441]
2019-04-24 15:20:07,844 [Dummy-1:7608] [django.channels.server:147] [runserver:log_action] [INFO]- HTTP GET / 302 [0.01, 127.0.0.1:64441]
2019-04-24 15:20:07,892 [Dummy-1:7608] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.04, 127.0.0.1:64441]
2019-04-24 15:20:07,934 [Dummy-1:7608] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP GET /static/images/favicon.ico 200 [0.00, 127.0.0.1:64441]
2019-04-24 15:20:08,099 [Dummy-1:7608] [django.channels.server:141] [runserver:log_action] [INFO]- HTTP POST /getServerList/ 200 [0.03, 127.0.0.1:64441]
2019-04-24 15:20:08,944 [Thread-2:7488] [django.request:228] [log:log_response] [ERROR]- Internal Server Error: /project/
